"","station_name","date","receiver","description","data","rcv_serial_no","deploy_date","recover_date","dep_lat","dep_long","the_geom","catalognumber"
"101","V2LSCF-N1",2015-06-05,"VR2AR-545784","Average temperature",0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"102","V2LSCF-N1",2015-06-05,"VR2AR-545784","Minimum temperature",0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"103","V2LSCF-N1",2015-06-05,"VR2AR-545784","Maximum temperature",0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"104","V2LSCF-N1",2015-06-05,"VR2AR-545784","Temperature",0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"105","V2LSCF-N1",2015-06-06,"VR2AR-545784","Average temperature",0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"106","V2LSCF-N1",2015-06-06,"VR2AR-545784","Maximum temperature",0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"107","V2LSCF-N1",2015-06-06,"VR2AR-545784","Minimum temperature",0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"108","V2LSCF-N1",2015-06-06,"VR2AR-545784","Temperature",0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"109","V2LSCF-N1",2015-06-07,"VR2AR-545784","Temperature",0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"110","V2LSCF-N1",2015-06-07,"VR2AR-545784","Minimum temperature",0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"111","V2LSCF-N1",2015-06-07,"VR2AR-545784","Maximum temperature",0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
