"","station","num_fish","num_dets","first_det","last_det","mean_lat","mean_lon","animals"
"42","2021_045",3,1410,2023-12-08 05:38:59,2024-04-01 03:25:20,46.0964800000001,-58.7971000000005,"SABMPA-1283893-2022-11-01 SABMPA-MPA-SAB-23-HIP-01-2023-10-05 SABMPA-MPA-SAB-23-HIP-02-2023-10-05"
"43","2021_046",4,532,2023-04-19 22:59:30,2024-03-29 12:12:01,46.1015606015034,-58.785408270676,"SABMPA-1283893-2022-11-01 SABMPA-MPA-SAB-23-HIP-02-2023-10-05 SABMPA-MPA-SAB-23-HIP-05-2023-10-06 SABMPA-MPA-SAB-23-HIP-08-2023-10-06"
"44","CABOT NORD",1,7,2024-06-01 03:58:38,2024-06-01 04:12:19,48.04083,-61.16233,"SABMPA-1283907-2022-12-05"
"45","CBS004",1,6,2023-03-18 05:57:21,2023-03-18 06:04:25,47.04749,-60.36285,"SABMPA-1283891-2022-11-01"
"46","CBS006",1,7,2023-02-16 21:10:25,2023-02-16 21:21:41,47.05752,-60.34917,"SABMPA-1283891-2022-11-01"
"47","CBS007",2,37,2023-01-04 10:07:05,2023-02-16 20:58:32,47.06215,-60.34224,"SABMPA-1283888-2022-11-01 SABMPA-1283891-2022-11-01"
"48","CBS010",2,4,2023-05-22 19:01:18,2024-06-09 14:46:30,47.07708,-60.319725,"SABMPA-1283891-2022-11-01 SABMPA-1283907-2022-12-05"
"49","CBS012",1,8,2024-01-12 18:00:56,2024-01-12 18:45:43,47.08672,-60.30506,"SABMPA-1283907-2022-12-05"
"50","CBS014",1,4,2024-01-14 18:28:11,2024-01-14 19:24:50,47.09645,-60.29036,"SABMPA-MPA-SAB-23-HIP-04-2023-10-05"
"51","CBS015",3,168,2023-06-20 10:21:38,2025-06-15 08:47:55,47.1014706547619,-60.2828759523809,"SABMPA-1283907-2022-12-05 SABMPA-MPA-SAB-23-HIP-04-2023-10-05 SABMPA-MPA-SAB-25-HIP-16-2025-04-24"
"52","CBS016",1,3,2024-01-15 14:57:40,2024-01-15 15:05:16,47.10644,-60.27535,"SABMPA-MPA-SAB-23-HIP-04-2023-10-05"
"53","CBS017",1,2,2023-01-09 12:47:34,2023-01-09 12:57:01,47.11172,-60.26817,"SABMPA-1283890-2022-11-01"
"54","CBS018",1,2,2023-01-09 13:23:05,2023-01-09 13:40:18,47.11636,-60.26049,"SABMPA-1283890-2022-11-01"
"55","CBS021",1,195,2023-01-09 19:25:07,2023-01-10 03:56:44,47.1319999999998,-60.2392299999998,"SABMPA-1283907-2022-12-05"
"56","CBS022",1,202,2023-01-11 07:13:46,2023-01-11 22:52:28,47.1359599999998,-60.2317000000002,"SABMPA-1283907-2022-12-05"
"57","CBS024",1,91,2025-01-17 20:04:41,2025-01-17 22:45:44,47.1461,-60.2165000000001,"SABMPA-1283882-2022-11-01"
"58","CBS025",1,7,2025-01-17 23:06:02,2025-01-17 23:32:20,47.15116,-60.2094,"SABMPA-1283882-2022-11-01"
"59","CBS029",1,14,2025-01-18 07:45:14,2025-01-18 08:29:05,47.1712,-60.18019,"SABMPA-1283882-2022-11-01"
"60","CBS170",1,2,2025-06-29 07:03:48,2025-06-29 07:06:31,47.25701,-60.06044,"SABMPA-MPA-SAB-25-HIP-16-2025-04-24"
"61","CBS171",1,11,2025-01-21 10:24:25,2025-01-21 11:30:29,47.26112,-60.0525,"SABMPA-1283882-2022-11-01"
"62","CBS172",1,23,2025-01-21 11:40:48,2025-01-21 12:51:22,47.26521,-60.04393,"SABMPA-1283882-2022-11-01"
"63","CBS190",1,99,2024-03-04 05:09:42,2024-03-05 20:34:23,47.3406500000001,-59.8884600000001,"SABMPA-MPA-SAB-23-HIP-04-2023-10-05"
"64","CBS191",1,8,2024-03-04 05:21:12,2024-03-05 19:19:52,47.34464,-59.87945,"SABMPA-MPA-SAB-23-HIP-04-2023-10-05"
"65","CBS216",1,4,2025-02-16 00:39:24,2025-02-16 00:54:26,47.44984,-59.66432,"SABMPA-1283882-2022-11-01"
"66","CBS218",1,4,2025-02-19 23:50:51,2025-02-19 23:56:36,47.45812,-59.64687,"SABMPA-1283882-2022-11-01"
"67","CBS225",1,6,2025-02-02 01:18:38,2025-02-02 01:25:47,47.48739,-59.58676,"SABMPA-1283882-2022-11-01"
"68","GDL-SV3-1121-20230620T1500-8656998",1,1,2023-07-03 06:02:02.767181,2023-07-03 06:02:02.767181,46.38197,-59.41789,"SABMPA-1283877-2022-11-01"
"69","GDL-SV3-1121-20230620T1500-8656999",1,1,2023-07-03 06:09:29.619049,2023-07-03 06:09:29.619049,46.38399,-59.41796,"SABMPA-1283877-2022-11-01"
"70","GDL-SV3-1121-20230620T1500-8657000",1,1,2023-07-03 06:09:29.619506,2023-07-03 06:09:29.619506,46.38399,-59.41796,"SABMPA-1283877-2022-11-01"
"71","GDL-SV3-1121-20230620T1500-8657001",1,1,2023-07-03 06:09:29.620208,2023-07-03 06:09:29.620208,46.38399,-59.41796,"SABMPA-1283877-2022-11-01"
