"X","OTN_ARRAY","OTN_ARRAY_2","OTN_ARRAY_3","STATION_NO","STATION_NO2","DEPLOY_DATE_TIME_UTC","BOTTOM_DEPTH","INS_MODEL_NO","RECEIVER_SN","RECEIVER_TAG_ID","RECOVERED","RECOVER_DATE_TIME_UTC","YEAR_DEPLOYED","Assigned_c","X.1","depth"
171,"SABMPA","SAB_OLD","SAB_SOUTH","S18","S18","2016-04-17T10:19:52",NA,"VR2AR",546088,"A69-1601-60552","Y","2017-05-05T09:11:08",2016,"A - Mud"," 46.021835)",109.3
172,"SABMPA","SAB_OLD","SAB_SOUTH","S01","S1","2016-04-17T10:25:07",NA,"VR2AR",546085,"A69-1601-60549","Y","2017-05-05T09:24:15",2016,"A - Mud"," 46.0217533)",113.2
173,"SABMPA","SAB_OLD","SAB_SOUTH","S02","S2","2016-04-17T10:47:46",NA,"VR2AR",546090,"A69-1601-60554","Y","2017-05-05T09:38:17",2016,"A - Mud"," 46.0217517)",117.5
174,"SABMPA","SAB_OLD","SAB_SOUTH","S03","S3","2016-04-17T11:00:03",NA,"VR2AR",546077,"A69-1601-60541","Y","2017-05-05T09:49:32",2016,"A - Mud"," 46.0218417)",119.2
175,"SABMPA","SAB_OLD","SAB_SOUTH","S04","S4","2016-04-17T11:05:45",NA,"VR2AR",546073,"A69-1601-60537","Y","2017-05-05T10:02:07",2016,"A - Mud"," 46.0221667)",119.6
176,"SABMPA","SAB_OLD","SAB_SOUTH","S05","S5","2016-04-17T11:17:36",NA,"VR2AR",545764,"A69-1601-60228","Y","2017-05-05T10:12:10",2016,"A - Mud"," 46.0219883)",137.2
177,"SABMPA","SAB_OLD","SAB_SOUTH","S06","S6","2016-04-17T11:29:19",NA,"VR2AR",545770,"A69-1601-60234","Y","2017-05-05T10:21:33",2016,"A - Mud"," 46.0217067)",148.9
178,"SABMPA","SAB_OLD","SAB_SOUTH","S07","S7","2016-04-17T11:47:42",NA,"VR2AR",545781,"A69-1601-60245","Y","2017-05-05T10:32:23",2016,"A - Mud"," 46.02181)",148.9
179,"SABMPA","SAB_OLD","SAB_SOUTH","S08","S8","2016-04-17T11:59:56",NA,"VR2AR",545762,"A69-1601-60226","Y","2017-05-05T10:41:39",2016,"A - Mud"," 46.0218767)",157.3
180,"SABMPA","SAB_OLD","SAB_SOUTH","S09","S9","2016-04-17T12:11:01",NA,"VR2AR",545761,"A69-1601-60225","Y","2017-05-05T10:50:29",2016,"A - Mud"," 46.0221683)",134
181,"SABMPA","SAB_OLD","SAB_SOUTH","S10","S10","2016-04-17T12:21:47",NA,"VR2AR",545713,"A69-1601-60177","Y","2017-05-05T11:00:44",2016,"A - Mud"," 46.021515)",139.6
182,"SABMPA","SAB_OLD","SAB_SOUTH","S11","S11","2016-04-17T12:31:24",NA,"VR2AR",545769,"A69-1601-60233","Y","2017-05-05T11:10:08",2016,"A - Mud"," 46.0229433)",146.3
183,"SABMPA","SAB_OLD","SAB_SOUTH","S12","S12","2016-04-17T12:43:27",NA,"VR2AR",545766,"A69-1601-60230","Y","2017-05-05T11:19:30",2016,"A - Mud"," 46.0222267)",150.8
184,"SABMPA","SAB_OLD","SAB_SOUTH","S13","S13","2016-04-17T12:58:50",NA,"VR2AR",545771,"A69-1601-60235","Y","2017-05-05T11:28:53",2016,"A - Mud"," 46.0219567)",147.9
185,"SABMPA","SAB_OLD","SAB_SOUTH","S19","S19","2016-04-17T13:11:19",NA,"VR2AR",545765,"A69-1601-60229","Y","2017-05-05T11:38:36",2016,"A - Mud"," 46.0217517)",116.5
186,"SABMPA","SAB_OLD","SAB_SOUTH","S22","S22","2016-04-17T13:34:51",NA,"VR2AR",546074,"A69-1601-60538","Y","2017-05-05T12:10:19",2016,"A - Mud"," 46.0220217)",132.4
187,"SABMPA","SAB_OLD","SAB_SOUTH","S23","S23","2016-04-17T13:40:16",NA,"VR2AR",545778,"A69-1601-60242","Y","2017-05-05T12:18:36",2016,"A - Mud"," 46.0220817)",140.1
188,"SABMPA","SAB_OLD","SAB_SOUTH","S18","S18","2017-05-05T09:11:08",NA,"VR2AR",546076,"A69-1601-60540","Y","2018-06-10T08:37:48",2017,"A - Mud"," 46.0210717)",109.3
189,"SABMPA","SAB_OLD","SAB_SOUTH","S1","S1","2017-05-05T09:24:15",NA,"VR2AR",545570,"A69-1601-60034","Y","2018-06-10T08:49:56",2017,"A - Mud"," 46.0217633)",113.2
190,"SABMPA","SAB_OLD","SAB_SOUTH","S2","S2","2017-05-05T09:38:17",NA,"VR2AR",546087,"A69-1601-60551","Y","2018-06-10T08:59:22",2017,"A - Mud"," 46.0215817)",117.5
191,"SABMPA","SAB_OLD","SAB_SOUTH","S3","S3","2017-05-05T09:49:32",NA,"VR2AR",546086,"A69-1601-60550","Y","2018-06-10T09:12:20",2017,"A - Mud"," 46.0219467)",119.2
192,"SABMPA","SAB_OLD","SAB_SOUTH","S4","S4","2017-05-05T10:02:07",NA,"VR2AR",546081,"A69-1601-60545","Y","2018-06-10T09:20:57",2017,"A - Mud"," 46.0217433)",120.1
193,"SABMPA","SAB_OLD","SAB_SOUTH","S5","S5","2017-05-05T10:12:10",NA,"VR2AR",546088,"A69-1601-60552","Y","2018-06-10T09:30:05",2017,"A - Mud"," 46.0218)",137.2
194,"SABMPA","SAB_OLD","SAB_SOUTH","S6","S6","2017-05-05T10:21:33",NA,"VR2AR",546090,"A69-1601-60554","Y","2018-06-10T09:38:55",2017,"A - Mud"," 46.021765)",148.9
195,"SABMPA","SAB_OLD","SAB_SOUTH","S7","S7","2017-05-05T10:32:23",NA,"VR2AR",546077,"A69-1601-60541","Y","2018-06-10T09:48:45",2017,"A - Mud"," 46.0217517)",148.9
196,"SABMPA","SAB_OLD","SAB_SOUTH","S8","S8","2017-05-05T10:41:39",NA,"VR2AR",546073,"A69-1601-60537","Y","2018-06-10T09:57:27",2017,"A - Mud"," 46.0218517)",157.3
197,"SABMPA","SAB_OLD","SAB_SOUTH","S9","S9","2017-05-05T10:50:29",NA,"VR2AR",545764,"A69-1601-60228","Y","2018-06-10T10:06:28",2017,"A - Mud"," 46.0218583)",134
198,"SABMPA","SAB_OLD","SAB_SOUTH","S10","S10","2017-05-05T11:00:44",NA,"VR2AR",546085,"A69-1601-60549","Y","2018-06-10T10:15:09",2017,"A - Mud"," 46.02195)",139.6
199,"SABMPA","SAB_OLD","SAB_SOUTH","S11","S11","2017-05-05T11:10:08",NA,"VR2AR",545770,"A69-1601-60234","Y","2018-06-10T10:23:50",2017,"A - Mud"," 46.021975)",146.3
200,"SABMPA","SAB_OLD","SAB_SOUTH","S12","S12","2017-05-05T11:19:30",NA,"VR2AR",545781,"A69-1601-60245","Y","2018-06-10T10:33:46",2017,"A - Mud"," 46.02181)",150.8
201,"SABMPA","SAB_OLD","SAB_SOUTH","S13","S13","2017-05-05T11:28:53",NA,"VR2AR",545762,"A69-1601-60226","Y","2018-06-10T10:42:29",2017,"A - Mud"," 46.0216867)",147.9
202,"SABMPA","SAB_OLD","SAB_SOUTH","S19","S19","2017-05-05T11:38:36",NA,"VR2AR",545761,"A69-1601-60225","Y","2018-06-10T10:51:26",2017,"A - Mud"," 46.02147)",116.5
203,"SABMPA","SAB_OLD","SAB_SOUTH","S22","S22","2017-05-05T12:10:19",NA,"VR2AR",545766,"A69-1601-60230","Y","2018-06-10T11:17:23",2017,"A - Mud"," 46.0218483)",132.4
204,"SABMPA","SAB_OLD","SAB_SOUTH","S23","S23","2017-05-05T12:18:36",NA,"VR2AR",545771,"A69-1601-60235","Y","2018-06-10T11:25:52",2017,"A - Mud"," 46.0217517)",140.1
205,"SABMPA","SAB_OLD","SAB_SOUTH","S105","S5","2018-06-10T08:37:48",NA,"VR2AR",545575,"A69-1601-60039","Y","2019-08-07T09:18:00",2018,"A - Mud"," 46.02091)",109.3
206,"SABMPA","SAB_OLD","SAB_SOUTH","S106","S6","2018-06-10T08:49:56",NA,"VR2AR",545577,"A69-1601-60041","Y","2019-08-07T09:28:00",2018,"A - Mud"," 46.02219)",113.2
207,"SABMPA","SAB_OLD","SAB_SOUTH","S107","S7","2018-06-10T08:59:22",NA,"VR2AR",545571,"A69-1601-60035","Y","2019-08-07T09:37:00",2018,"A - Mud"," 46.02177)",117.5
