SET_SEQ,PRED_SEQ,PREY_SEQ,DATASOURCE,MISSION,SETNO,SDATE,STIME,STRAT,BOTTOM_TEMPERATURE,DEPTH,GEAR,SLATDD,SLONGDD,NAFO_ZONE,NAFO_SUBUNIT,SPEC,FSHNO,FWT,FLEN,STOWGT,EMPTYWGT,FULLNESS,FGEN,PREYSPECCD,PWT,PLEN,PNUM,RANK,DIGESTION,
8993,186767,215985,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4402,76,24,1.38,1.17,1,,9200,0.21,,,,1,
8993,186734,215986,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,12,4364,363,37,9.3,6.72,2,,2000,2.58,,,,4,
8993,186733,215987,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,12,4363,294,34,5.58,5.32,1,,2600,0.26,,2,,3,
8993,186766,215988,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,40,4386,72,23,0.56,0.44,4,,7000,0.01,,1,,1,
8993,186766,215989,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,40,4386,72,23,0.56,0.44,4,,2600,0.11,,1,,2,
8993,186795,215990,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,647,4367,86,29,1.94,1.1,2,,9000,0.84,,,,4,
8993,186772,215991,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4407,41,20,1.13,0.96,1,,3199,0.17,,,,1,
8993,186741,215992,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,23,4393,198,23,10.18,0.95,4,,2600,9.23,,23,,1,
8986,186435,215993,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,10,4073,512,38,14.71,9.07,2,,2600,0.25,,1,,2,
8986,186435,215994,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,10,4073,512,38,14.71,9.07,2,,2210,0.73,,1,,2,
8986,186435,215995,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,10,4073,512,38,14.71,9.07,2,,2507,2.64,,,,4,
8986,186435,215996,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,10,4073,512,38,14.71,9.07,2,,2000,2.02,,,,4,
8986,186444,215997,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,41,4060,92,26,1.96,0.86,3,,9000,1.1,,,,4,
