TRIP_ID,TRIP,BOARD_DATE,SET_NO,STATION,LATITUDE,LONGITUDE,NET_TEMPERATURE,EST_CATCH,SPECCD_ID,EST_NUM_CAUGHT,EST_DISCARD_WT
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,4310,1,0.1
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,6115,2450,17.5
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,8300,7,0.7
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,8332,1,0.1
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,8600,1,0.1
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,9300,4,0.1
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,31,2,0.1
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,40,73,3.5
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,41,15,1.4
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,201,3,3.3
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,350,1,0.1
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,2211,544,3.2
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,2526,66,5.72
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,2559,2,0.1
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,4210,3,0.1
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,4511,1,0.1
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,6115,11,0.1
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,6123,1,0.1
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,6300,6,1.3
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,8600,2,0.1
100049843,S24092017,2017-09-24,6,51,45.76017,59.519,2.275229032,0.00572,9300,2,0.1
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,12,42,12.4
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,14,10,2.2
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,23,82,8.3
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,40,12,0.9
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,41,2132,514.9
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,112,16,1.3
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,114,2,0.1
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,201,6,2
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,202,3,1.6
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,400,1,0.693
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,410,9,0.4
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,647,2,0.1
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,1224,2,0.1
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,2211,14,0.1
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,2523,2,0.397
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,2526,239,24.62
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,3200,1,0.1
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,4521,4,0.1
